"cd3cd28icam2_aktinhib.Raf","cd3cd28icam2_aktinhib.Mek","cd3cd28icam2_aktinhib.Plcg","cd3cd28icam2_aktinhib.PIP2","cd3cd28icam2_aktinhib.PIP3","cd3cd28icam2_aktinhib.Erk","cd3cd28icam2_aktinhib.Akt","cd3cd28icam2_aktinhib.PKA","cd3cd28icam2_aktinhib.PKC","cd3cd28icam2_aktinhib.P38","cd3cd28icam2_aktinhib.Jnk"
89.8,73.7,7.04,8.98,11.8,32.2,56.2,365,6.79,22.9,50.5
163,209,7.7,18.4,6.26,24.1,52.3,939,16.3,52.3,77.7
59.9,47.4,3.34,96.5,12.9,27.4,48.3,325,14.6,43.3,41.8
26.7,26.2,5.14,4.7,13.9,13.6,32.2,396,8.51,16.5,43.7
101,81.3,1,205,37.5,21.1,39.6,262,9.47,10.2,46.6
186,143,9.31,487,77,30.2,50.5,433,7.99,20.2,23.5
28.6,20.5,6.1,125,13.8,36.2,57.3,319,8.9,6.04,20
120,90.6,37.9,319,79.9,31.1,46.1,359,28.4,82.8,198
103,94.7,1.38,97.3,5.67,41,107,1827,10.2,20.5,29.2
31.1,23.3,5.94,10.4,5.99,38.2,79.1,2017,7.37,22.1,34
110,96.5,2.86,120,25,79.1,110,487,8.35,25.3,30.5
31.6,17.8,1.68,108,7.17,44.5,106,1811,10.7,16.8,19.1
105,80.6,5.88,76.4,30.8,38.5,44.5,362,10,34,34.9
186,131,2.31,181,11.9,15.4,35.9,500,11.5,39.6,46.1
42.6,29.2,1,183,32.2,26.7,32.8,305,1,26.9,6.98
21.3,17.2,15,196,50.5,44.1,75,279,17,36.2,77
78.4,56.2,32.5,63.2,23.7,17.6,41.8,500,43.3,95.6,87.4
98.2,58.3,10,16,12.2,13,29.7,567,11,18.6,24.6
114,112,20,410,71,102,143,407,8.82,20.4,42.9
117,85.1,10.7,204,22.5,29.4,49.1,890,6.79,17.3,27.4
107,76.4,1,2.89,1.08,44.5,88.2,3078,6.79,18.3,37.9
5.47,18.6,1.36,147,22.3,25.9,42.6,667,6.04,27.4,25.5
23.1,20.9,1.1,429,34,12.6,23.1,496,48.3,173,325
108,79.9,13.5,453,104,19.8,36.2,372,25.3,66.1,195
89.8,71.7,3.79,11.9,14.1,31.3,95.6,1655,9.91,26.2,24.8
27.4,19.1,1.22,311,25.7,10.6,34.9,483,7.64,23.9,37.2
48.3,27.1,6.26,14.2,9.22,41.4,73.7,382,8.43,18.6,26.2
70.4,45.7,12.2,47.8,22.9,21.1,32.5,538,8.74,22.9,41.8
133,86.6,19.6,24.6,8.74,6.04,41.4,368,14.2,29.4,17.3
35.5,24.8,13,27.6,28.1,35.5,83.5,1540,5.88,12.7,18.4
28.9,23.1,9.56,259,51.4,64.9,87.4,799,7.99,20.9,52.8
37.2,37.2,4.18,19.8,19.1,34.3,65.5,311,4.45,19.5,42.2
106,101,29.4,286,77.7,34.6,73,1370,10.1,39.2,29.2
41.8,44.9,4.53,9.14,7.43,58.3,90.6,372,60.4,186,269
24.8,13.3,4.96,23.7,5.09,48.3,74.3,1124,1,163,3.82
108,75,10.2,6.44,4.03,43.7,83.5,1144,11,21.5,47
33.4,18.3,12.2,9.91,1.01,29.2,45.7,294,7.99,15.3,24.4
151,131,10.2,7.04,16,38.5,90.6,1911,11.8,23.1,46.6
74.3,52.3,6.61,21.5,8.98,8.2,24.8,519,17.5,34.9,27.9
30.5,23.9,7.43,5,1.37,21.9,45.7,355,9.31,31.9,25.3
31.6,22.7,22.1,132,25.3,35.2,50.9,449,10.1,31.9,20
79.9,106,7.04,81.3,22.5,82.8,193,3429,5.05,16.7,36.5
78.4,69.8,4.53,123,31.3,20.9,45.7,392,8.98,18.4,36.2
27.9,26.7,8.58,470,82.8,107,195,3752,33.1,76.4,114
146,175,18.9,322,82,17.5,39.2,1124,6.1,13.6,20.5
129,119,1,176,13.9,20.2,38.9,407,28.4,64.9,101
31.9,32.5,5.19,16,8.28,18.6,23.3,594,10.6,40,31.3
76.4,64.9,3.96,136,27.4,18.9,49.6,1310,7.43,28.9,42.9
26.2,12.5,7.1,14.5,8.66,9.82,39.6,626,5.09,11.5,3.46
42.2,13.3,6.21,449,64.9,19.8,33.1,604,8.2,19.8,32.5
117,83.5,3.55,313,40.7,46.6,65.5,325,9.91,18.1,36.2
37.9,15.5,2.86,45.7,17.5,16.4,31.9,340,2.21,23.5,38.9
27.1,29.7,7.17,100,26.4,12.5,32.8,457,12.4,28.9,48.3
26.2,20.4,51.9,389,108,12.2,33.4,764,8.43,22.1,19.6
153,83.5,5.88,8.28,14.3,32.5,39.6,410,4.41,24.1,30
30.2,16,1,334,32.8,36.8,51.4,638,5.14,14.7,23.3
60.4,52.8,28.1,20.9,14.9,56.7,111,1046,10.8,27.9,42.2
63.8,42.2,6.49,18.3,11.2,30.8,57.8,588,7.7,12.3,23.5
225,126,16,375,98.2,50.5,87.4,956,14.5,43.7,85.8
53.3,43.7,4.49,64.4,28.6,26.9,50.5,264,13.6,43.7,39.2
43.7,34.9,9.14,13.7,9.47,14.1,25,359,8.9,16.5,51.9
38.2,30.8,2.13,115,8.98,17.8,28.6,441,8.98,34.6,73.7
53.8,47,6.61,11.2,7.64,12.7,34.9,730,8.98,14.7,19.8
35.2,36.8,7.3,379,69.2,50.9,70.4,426,7.84,18.1,32.2
20.9,9.39,15.7,19.6,15,23.7,41.8,308,18.9,31.3,3.05
67.9,40.7,3.52,313,40,5.23,30.2,359,11.3,22.1,59.4
26.4,20.2,1.86,422,66.1,8.66,28.9,200,1.15,125,8.35
111,70.4,6.55,63.8,16.1,18.6,33.7,445,6.32,11.5,31.6
23.7,25.7,1.46,121,21.7,35.2,82.8,1134,5.88,16.7,23.9
12,19.1,39.2,44.1,16.8,24.4,34,407,14.1,44.1,137
31.1,7.3,1,505,76.4,31.1,44.9,385,7.77,19.1,42.2
89,95.6,16.5,60.4,27.1,12.6,48.7,890,8.43,16.8,36.5
17.6,10.7,5.23,46.6,32.2,27.1,45.3,346,10.6,18.3,16.5
42.6,18.9,9.56,433,94.7,37.2,59.4,284,10.8,28.1,43.3
85.8,115,14.9,22.7,2.97,13.5,25.7,441,7.64,13.2,20.4
18.9,35.9,7.1,13.7,8.51,47,53.3,349,30,63.2,107
30.8,24.1,1,414,56.2,72.3,163,2167,10.6,17.6,63.2
11.8,5.05,7.1,7.04,8.82,33.7,48.3,562,11.1,29.2,41.8
24.4,30,1,343,10.6,64.4,95.6,396,9.91,21.3,38.5
34.9,27.6,6.92,7.84,9.73,51.4,70.4,500,11.3,47,82
91.4,50.5,17,483,76.4,65.5,125,1407,6.44,20,32.2
87.4,59.4,2.02,77.7,17.6,23.9,39.6,311,7.23,32.8,36.2
26.7,22.7,5.57,130,26.9,21.7,46.6,655,19.8,60.4,202
27.6,21.9,16.8,422,94.7,69.2,101,1298,8.82,16.1,38.5
36.5,24.8,13.2,562,104,58.3,113,2267,4.78,24.8,27.6
24.8,30,2.84,122,11,31.9,56.7,407,7.99,19.3,17.8
50.9,23.5,9.65,135,11.3,7.64,27.1,319,8.06,46.6,48.7
91.4,107,6.38,9.91,10.6,50,77.7,931,2.62,36.5,5
104,82,21.5,359,113,42.9,70.4,982,5.19,19.5,19.3
27.4,21.3,7.43,12.5,1,72.3,167,3338,9.82,13.5,25
24.4,26.4,10.5,294,77.7,43.3,94.7,1640,23.1,77,160
31.9,23.7,1.42,281,35.5,36.2,74.3,1640,3.52,27.1,36.8
108,90.6,36.8,25.9,21.5,89,186,2763,14.7,36.8,47
64.4,48.7,2.86,70.4,35.2,33.1,57.3,514,7.23,33.4,61
27.1,15.3,6.98,57.8,7.77,24.1,42.6,305,8.13,18.4,47.8
58.3,48.7,13.8,6.85,1,26.4,50.9,717,22.1,56.2,157
37.2,26.9,5.14,7.04,5.09,18.8,29.2,352,10.6,37.2,73
9.39,12.3,3.82,130,1.04,22.1,36.5,441,9.39,31.1,51.9
27.4,19.6,8.28,9.14,12.1,28.6,63.2,1197,8.74,23.5,19.8
107,69.8,30.2,57.3,17,24.4,35.5,491,13.9,49.6,117
64.9,61,13.5,10.9,10.5,4.7,28.6,223,6.44,25.9,35.5
17.5,12.4,2.86,276,44.9,42.2,79.1,835,7.99,35.5,35.9
248,267,7.57,24.8,4.37,31.3,48.7,334,6.44,21.9,39.6
28.9,16,5.33,28.1,12.3,20.5,27.6,470,5.09,25,34.9
25.3,20.2,1.86,202,22.1,59.4,102,1420,9.06,12.7,29.7
46.1,26.4,19.1,20.4,10.7,44.5,75,649,45.7,75,7.1
50,14.1,17.9,16,4.74,32.5,50.9,422,6.79,26.4,39.6
69.8,58.8,13,6.85,10.8,28.6,37.9,209,9.31,35.5,70.4
45.7,31.3,19.6,15.3,12.4,11.7,31.3,621,12.3,21.3,56.2
22.3,17.5,12.6,379,68.5,23.3,39.6,343,9.56,43.7,40.7
40,26.7,1,188,9.56,11.1,31.9,799,4.41,10.7,37.9
30.5,46.1,8.58,50.5,11.5,29.4,50.9,334,10.1,37.2,40.7
85.1,61.5,2.25,528,57.3,26.9,53.8,1286,2.17,14.7,8.98
31.3,24.4,7.57,46.1,17.9,55.7,97.3,764,6.44,21.3,22.7
55.7,47,13.3,22.1,16.4,5.83,7.84,385,7.3,14.2,18.3
9.47,11.1,13.6,385,64.4,67.9,133,1928,10.3,17.6,79.1
108,137,9.65,20.9,9.65,30.8,52.3,325,8.98,20.4,21.9
9.65,13.1,10.2,39.2,4.14,14.9,47.4,1084,7.3,27.1,45.7
50.9,40.3,16.1,233,43.7,30.5,86.6,1611,4.74,22.5,24.1
22.5,35.9,23.9,40.7,20.7,29.2,47,403,11.2,19.8,45.7
84.3,54.7,12.7,19.8,15.5,59.9,179,1596,6.85,26.9,37.5
132,183,1.27,168,27.4,38.5,63.8,276,4.18,15.4,28.9
42.2,61.5,2.48,142,32.5,12.6,31.6,547,4.14,27.6,50.9
50.9,46.1,2.21,286,29.7,40.7,55.2,414,5.88,15.7,15.5
170,136,11.3,407,89,30,43.3,346,13.8,25.7,14.9
65.5,50,6.85,17.8,14.1,23.1,42.6,400,9.82,28.1,40
24.1,12.4,1,121,12.2,18.6,39.6,349,6.79,28.6,47.8
12.2,9.91,12.7,385,79.1,53.8,94.7,982,11.9,49.6,50.5
126,135,10.3,6.79,16,70.4,163,2148,10.6,30.8,50
31.9,28.6,14.6,319,73,35.9,54.7,389,11.1,22.5,24.4
89.8,109,5,26.2,12.5,10.5,24.6,557,2.33,204,5.19
89.8,73,10.3,12.7,1.3,34.3,51.4,410,8.82,20.5,25.5
46.1,27.9,8.74,233,32.2,69.2,158,2054,7.1,19.5,43.3
37.5,27.9,6.49,63.8,23.5,16.4,32.5,343,6.49,11.2,36.5
34,24.4,4.91,17,6.26,22.5,34.6,667,7.84,18.1,26.4
17,21.5,9.56,12.5,8.28,28.6,41.4,414,12.1,38.5,57.3
23.3,7.23,11,209,44.5,41,73,1065,9.56,43.7,33.1
97.3,72.3,6.61,58.8,14.1,52.3,106,1762,7.7,27.1,46.1
58.8,40,1.43,195,14.6,92.2,175,2267,4.53,25.7,23.7
78.4,63.2,3.68,196,15.1,15.3,43.7,661,4.61,13,41.8
26.9,23.1,1.11,175,21.1,59.4,102,1084,8.82,22.3,31.1
62.6,39.2,9.31,16.4,11.9,30.5,50.5,500,7.77,34.3,28.6
28.4,22.3,4,16.1,4.18,16.5,29.7,255,24.1,46.1,45.7
38.5,23.7,1.32,101,16.3,38.2,57.8,375,12,23.9,31.6
26.2,21.7,5.83,10.6,11.3,22.9,37.5,426,8.35,20,35.5
29.4,20.5,44.5,181,79.1,25,32.5,316,12.3,32.2,65.5
17,46.6,8.82,186,34.6,62.1,72.3,368,8.43,25,23.7
24.8,13.6,13.3,9.82,10.4,31.9,52.3,392,7.37,16.4,20
85.1,84.3,12,19.6,12.7,28.1,37.5,157,4.29,12.3,18.1
121,101,13.6,53.8,36.5,30.8,49.1,368,9.65,14.6,32.8
58.8,46.6,5.52,11.3,5.23,8.74,42.6,410,14.3,39.6,3.65
50,26.7,6.21,13.7,3.08,10,36.8,466,27.9,79.9,193
29.7,16.1,3.13,483,66.1,36.2,69.2,1055,179,257,11.4
34.3,28.1,1.19,143,9.31,28.4,67.9,2414,10.6,25.9,54.7
51.4,36.8,10.8,11.1,8.43,19.5,34.6,466,11.2,32.8,38.2
63.2,34.6,8.51,9.73,1.2,60.4,135,1640,8.35,27.1,37.2
173,110,2.53,267,39.2,22.1,50,400,7.17,10.7,49.1
113,93.9,2.97,445,67.9,22.5,79.1,1358,9.91,18.1,44.1
35.9,17,13.8,13.3,5.78,27.9,74.3,858,7.5,23.5,28.6
43.7,26.2,15.8,138,57.3,13.2,30,433,8.82,15.4,28.6
120,82,8.13,31.9,20.5,13,27.1,679,7.91,24.6,33.7
3.55,1.01,4.37,8.66,1.01,26.9,54.7,973,6.73,13.9,40
25,25.5,9.91,117,33.1,26.2,41.4,385,8.51,26.7,65.5
33.4,18.4,2.33,172,23.9,42.2,66.7,372,8.2,24.6,66.1
49.1,25,9.82,15.5,15.1,12.7,31.6,578,7.37,21.3,8.74
31.3,12.1,8.06,28.6,14.2,9.22,45.7,626,10.4,43.3,36.8
34.9,21.1,16.7,154,44.5,13.2,26.4,723,4.45,16.7,35.2
20.9,21.5,3.96,150,13.5,7.43,35.2,422,6.85,18.9,88.2
37.9,12.9,14.9,10.2,1.61,24.1,51.9,331,9.06,47,30
47.4,35.9,29.7,80.6,17,45.7,89.8,1263,5.42,26.2,51.4
48.7,38.9,18.9,349,69.8,59.9,133,1999,9.82,30.2,27.1
39.2,32.8,7.64,5.52,9.14,20,36.5,392,14.6,18.8,11.5
35.5,31.9,2,139,19.8,28.4,45.7,255,7.3,24.1,23.5
30.5,15.4,8.74,6.26,8.28,79.1,131,453,15.4,27.1,46.6
33.1,27.6,39.2,45.3,21.3,11.5,17.5,523,9.82,16.7,34.6
200,112,13.7,63.2,8.82,15.4,32.2,931,15.7,31.3,31.9
28.6,24.6,7.37,133,33.7,12.1,39.2,1000,7.77,22.7,38.5
44.9,23.5,1.13,445,43.3,7.1,26.2,276,26.7,82,85.8
16.3,14.7,20.7,35.5,5.33,33.7,52.8,319,4,8.2,4.7
63.2,39.6,9.31,161,47.4,16.1,36.5,382,9.65,25.9,13.8
33.7,28.9,5.38,12.5,6.79,10.1,26.4,449,11.1,26.4,28.1
33.4,23.7,8.66,8.13,1.88,44.9,99.1,1499,16.3,68.5,89
26.4,24.6,10.5,4.26,3.46,42.2,119,1685,19.6,41.4,44.1
62.6,73.7,21.9,78.4,32.8,25.5,44.5,337,41.4,130,143
26.7,19.5,6.92,47,25.7,21.5,33.4,461,30.8,86.6,259
22.3,24.1,5.94,19.8,8.66,11.2,26.2,461,8.51,24.1,41.8
102,66.1,11.4,7.37,2.09,35.9,65.5,770,9.82,25,35.2
26.2,18.6,3.08,10.5,14.7,74.3,129,1446,8.98,34.9,85.1
39.6,28.4,22.9,44.5,9.14,25.7,35.2,470,16.3,36.2,43.3
42.2,25.3,7.77,6.98,1,18.8,29.2,269,8.13,22.7,42.9
17.2,15,8.82,308,46.1,75,108,340,5.42,31.1,29.2
111,73.7,2.46,79.1,9.31,11.5,35.2,851,8.13,17,15.7
51.4,25.9,3.68,184,24.1,51.9,79.9,478,9.31,30.2,36.5
41.4,36.8,2.86,89.8,17.3,27.4,58.3,396,11,34,22.3
49.1,35.2,15,26.9,5.73,78.4,172,2227,7.77,19.6,17.8
